food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q7372,Hajar,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q139576,Pangasius bocourti,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q192662,Ansjovis,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q252880,Djuphavsfiskar,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q495488,Q495488,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q633379,Vitfisk,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q641539,Q641539,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q641539,Q641539,http://www.wikidata.org/entity/Q2850018,Q2850018
http://www.wikidata.org/entity/Q840795,Nors,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1072742,sötvattensfisk,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1156826,Nordlig ormhuvudfisk,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1224135,Q1224135,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1289807,Q1289807,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1289807,Q1289807,http://www.wikidata.org/entity/Q216241,Torskartade fiskar
http://www.wikidata.org/entity/Q1394029,Q1394029,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1409242,Q1409242,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1448518,Akvariefiskar,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1457157,Q1457157,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1523572,Q1523572,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1523572,Q1523572,http://www.wikidata.org/entity/Q25489701,Giftiga djur
http://www.wikidata.org/entity/Q1570122,munruvare,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1784207,Q1784207,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q1809317,Q1809317,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q2028474,rovfisk,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q2346039,Tonfisksläktet,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q2734949,Q2734949,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q2796766,Laxfiskar,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q3257722,Q3257722,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q3368448,Pastenague,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q3375130,Q3375130,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q3377427,Q3377427,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q3544437,Q3544437,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q5364423,saltvattensfisk,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q7189750,Q7189750,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q12368545,Q12368545,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q16069064,Q16069064,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q17077413,Q17077413,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q17504707,Q17504707,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q17504707,Q17504707,http://www.wikidata.org/entity/Q192935,mat från havet
http://www.wikidata.org/entity/Q19710169,Q19710169,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q28453760,Q28453760,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q30139432,Q30139432,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q56282003,Q56282003,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q67608562,Q67608562,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q67765421,Q67765421,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q69379337,Q69379337,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q74744464,Q74744464,http://www.wikidata.org/entity/Q152,fisk
http://www.wikidata.org/entity/Q74744464,Q74744464,http://www.wikidata.org/entity/Q39201,sällskapsdjur
